class,filename,height,width,xmax,xmin,ymax,ymin
plastic,Grogol_Location_1_2018-05-03 13-15-00-05_cam6.jpg,1080,1920,1620.0,1582.0,953.0,899.0
plastic,Grogol_Location_1_2018-05-03 13-15-00-05_cam6.jpg,1080,1920,230.0,199.0,848.0,789.0
plastic,Grogol_Location_1_2018-05-03 14-00-00-05_cam6.jpg,1080,1920,692.0,636.0,616.0,562.0
plastic,Grogol_Location_1_2018-05-03 14-00-00-05_cam6.jpg,1080,1920,172.0,142.0,476.0,406.0
plastic,Grogol_Location_1_2018-05-03 14-00-00-05_cam6.jpg,1080,1920,1384.0,1357.0,601.0,568.0
plastic,Grogol_Location_1_2018-05-03 14-15-00-05_cam6.jpg,1080,1920,1162.0,1121.0,341.0,294.0
plastic,Grogol_Location_1_2018-05-03 14-15-00-05_cam6.jpg,1080,1920,261.0,224.0,397.0,352.0
plastic,Grogol_Location_1_2018-05-03 14-15-00-05_cam6.jpg,1080,1920,1650.0,1609.0,792.0,740.0
plastic,Grogol_Location_1_2018-05-03 14-15-00-05_cam6.jpg,1080,1920,1744.0,1701.0,546.0,475.0
plastic,Grogol_Location_1_2018-05-03 14-15-00-05_cam6.jpg,1080,1920,302.0,239.0,550.0,490.0
plastic,Grogol_Location_1_2018-05-03 14-15-00-05_cam6.jpg,1080,1920,824.0,743.0,1080.0,977.0
plastic,Grogol_Location_1_2018-05-03 14-15-00-05_cam6.jpg,1080,1920,1213.0,1180.0,785.0,748.0
plastic,Grogol_Location_1_2018-05-03 14-15-00-05_cam6.jpg,1080,1920,302.0,255.0,1009.0,932.0
plastic,Grogol_Location_1_2018-05-03 14-15-00-05_cam6.jpg,1080,1920,557.0,523.0,913.0,869.0
plastic,Grogol_Location_1_2018-05-03 14-45-00-05_cam6.jpg,1080,1920,949.0,893.0,546.0,477.0
plastic,Grogol_Location_1_2018-05-03 14-45-00-05_cam6.jpg,1080,1920,198.0,161.0,631.0,579.0
plastic,Grogol_Location_1_2018-05-03 14-45-00-05_cam6.jpg,1080,1920,1493.0,1443.0,524.0,467.0
plastic,Grogol_Location_1_2018-05-03 14-45-00-05_cam6.jpg,1080,1920,386.0,357.0,1058.0,1030.0
plastic,Grogol_Location_1_2018-05-03 14-45-00-05_cam6.jpg,1080,1920,1006.0,969.0,1023.0,984.0
plastic,Grogol_Location_1_2018-05-03 14-45-00-05_cam6.jpg,1080,1920,69.0,30.0,785.0,726.0
plastic,Grogol_Location_1_2018-05-03 14-45-00-05_cam6.jpg,1080,1920,294.0,265.0,593.0,545.0
plastic,Grogol_Location_1_2018-05-03 14-45-00-05_cam6.jpg,1080,1920,104.0,83.0,643.0,614.0
plastic,Grogol_Location_1_2018-05-03 14-45-00-05_cam6.jpg,1080,1920,1495.0,1469.0,800.0,770.0
plastic,Grogol_Location_1_2018-05-03 15-00-00-05_cam6.jpg,1080,1920,1068.0,1025.0,1079.0,1038.0
plastic,Grogol_Location_1_2018-05-03 15-00-00-05_cam6.jpg,1080,1920,839.0,758.0,1080.0,959.0
plastic,Grogol_Location_1_2018-05-03 15-00-00-05_cam6.jpg,1080,1920,1589.0,1555.0,774.0,734.0
plastic,Grogol_Location_1_2018-05-03 15-00-00-05_cam6.jpg,1080,1920,243.0,219.0,984.0,953.0
plastic,Grogol_Location_1_2018-05-03 15-15-00-05_cam6.jpg,1080,1920,957.0,899.0,853.0,818.0
plastic,Grogol_Location_1_2018-05-03 15-15-00-05_cam6.jpg,1080,1920,1541.0,1481.0,303.0,241.0
plastic,Grogol_Location_1_2018-05-03 15-15-00-05_cam6.jpg,1080,1920,606.0,571.0,253.0,199.0
plastic,Grogol_Location_1_2018-05-03 15-15-00-05_cam6.jpg,1080,1920,329.0,302.0,742.0,703.0
plastic,Grogol_Location_1_2018-05-03 15-15-00-05_cam6.jpg,1080,1920,580.0,551.0,326.0,285.0
plastic,Grogol_Location_1_2018-05-03 15-30-00-05_cam6.jpg,1080,1920,418.0,372.0,836.0,767.0
plastic,Grogol_Location_1_2018-05-03 15-30-00-05_cam6.jpg,1080,1920,178.0,137.0,490.0,449.0
plastic,Grogol_Location_1_2018-05-03 15-30-00-05_cam6.jpg,1080,1920,852.0,764.0,1080.0,959.0
plastic,Grogol_Location_1_2018-05-03 15-30-00-05_cam6.jpg,1080,1920,511.0,473.0,465.0,397.0
plastic,Grogol_Location_1_2018-05-03 15-30-00-05_cam6.jpg,1080,1920,423.0,392.0,653.0,607.0
plastic,Grogol_Location_1_2018-05-03 15-30-00-05_cam6.jpg,1080,1920,331.0,292.0,1004.0,961.0
plastic,Grogol_Location_1_2018-05-05 11-00-00-05_cam1.jpg,1080,1920,458.0,410.0,593.0,533.0
plastic,Grogol_Location_1_2018-05-05 11-00-00-05_cam1.jpg,1080,1920,627.0,576.0,704.0,658.0
plastic,Grogol_Location_1_2018-05-05 11-00-00-05_cam1.jpg,1080,1920,1684.0,1619.0,229.0,166.0
plastic,Grogol_Location_1_2018-05-05 11-00-00-05_cam1.jpg,1080,1920,227.0,192.0,970.0,925.0
plastic,Grogol_Location_1_2018-05-05 11-00-00-05_cam1.jpg,1080,1920,328.0,300.0,575.0,549.0
plastic,Grogol_Location_1_2018-05-05 11-00-00-05_cam1.jpg,1080,1920,1767.0,1737.0,239.0,205.0
plastic,Grogol_Location_1_2018-05-05 11-00-00-05_cam1.jpg,1080,1920,1514.0,1489.0,1079.0,1048.0
plastic,Grogol_Location_1_2018-05-05 11-15-00-05_cam1.jpg,1080,1920,1660.0,1614.0,861.0,829.0
plastic,Grogol_Location_1_2018-05-05 11-15-00-05_cam1.jpg,1080,1920,375.0,314.0,586.0,508.0
plastic,Grogol_Location_1_2018-05-05 11-15-00-05_cam1.jpg,1080,1920,101.0,73.0,848.0,817.0
plastic,Grogol_Location_1_2018-05-05 11-15-00-05_cam1.jpg,1080,1920,61.0,39.0,368.0,330.0
plastic,Grogol_Location_1_2018-05-05 11-15-00-05_cam1.jpg,1080,1920,1512.0,1484.0,1037.0,1007.0
plastic,Grogol_Location_1_2018-05-05 11-15-00-05_cam1.jpg,1080,1920,1575.0,1525.0,988.0,919.0
plastic,Grogol_Location_1_2018-05-05 11-15-00-05_cam1.jpg,1080,1920,214.0,178.0,973.0,916.0
plastic,Grogol_Location_1_2018-05-05 11-15-00-05_cam1.jpg,1080,1920,1616.0,1568.0,660.0,635.0
plastic,Grogol_Location_1_2018-05-05 11-15-00-05_cam1.jpg,1080,1920,279.0,255.0,423.0,397.0
plastic,Grogol_Location_1_2018-05-07 10-00-00-05_cam1.jpg,1080,1920,1641.0,1600.0,814.0,774.0
plastic,Grogol_Location_1_2018-05-07 10-00-00-05_cam1.jpg,1080,1920,1751.0,1719.0,628.0,563.0
plastic,Grogol_Location_1_2018-05-07 10-00-00-05_cam1.jpg,1080,1920,1538.0,1509.0,132.0,90.0
plastic,Grogol_Location_1_2018-05-07 10-00-00-05_cam1.jpg,1080,1920,1696.0,1674.0,1056.0,1029.0
plastic,Grogol_Location_1_2018-05-07 10-15-00-05_cam1.jpg,1080,1920,542.0,500.0,491.0,441.0
plastic,Grogol_Location_1_2018-05-07 10-15-00-05_cam1.jpg,1080,1920,1731.0,1650.0,1067.0,982.0
plastic,Grogol_Location_1_2018-05-07 10-15-00-05_cam1.jpg,1080,1920,1804.0,1762.0,414.0,366.0
plastic,Grogol_Location_1_2018-05-07 10-15-00-05_cam1.jpg,1080,1920,265.0,232.0,747.0,716.0
plastic,Grogol_Location_1_2018-05-07 10-15-00-05_cam1.jpg,1080,1920,1689.0,1662.0,447.0,416.0
plastic,Grogol_Location_1_2018-05-07 10-45-00-05_cam1.jpg,1080,1920,158.0,122.0,460.0,415.0
plastic,Grogol_Location_1_2018-05-07 10-45-00-05_cam1.jpg,1080,1920,1474.0,1439.0,255.0,219.0
plastic,Grogol_Location_1_2018-05-07 10-45-00-05_cam1.jpg,1080,1920,1794.0,1753.0,480.0,425.0
plastic,Grogol_Location_1_2018-05-07 10-45-00-05_cam1.jpg,1080,1920,1761.0,1719.0,1009.0,973.0
plastic,Grogol_Location_1_2018-05-07 10-45-00-05_cam1.jpg,1080,1920,1649.0,1585.0,483.0,397.0
plastic,Grogol_Location_1_2018-05-07 10-45-00-05_cam1.jpg,1080,1920,1606.0,1569.0,156.0,116.0
plastic,Grogol_Location_1_2018-05-07 12-15-00-05_cam1.jpg,1080,1920,1808.0,1777.0,562.0,525.0
plastic,Grogol_Location_1_2018-05-07 12-15-00-05_cam1.jpg,1080,1920,1768.0,1747.0,168.0,138.0
plastic,Grogol_Location_1_2018-05-07 12-15-00-05_cam1.jpg,1080,1920,134.0,108.0,1065.0,1035.0
plastic,Grogol_Location_1_2018-05-07 12-15-00-05_cam1.jpg,1080,1920,59.0,39.0,961.0,932.0
plastic,Grogol_Location_1_2018-05-07 12-30-00-05_cam1.jpg,1080,1920,269.0,226.0,568.0,519.0
plastic,Grogol_Location_1_2018-05-07 12-30-00-05_cam1.jpg,1080,1920,117.0,62.0,885.0,803.0
plastic,Grogol_Location_1_2018-05-07 12-30-00-05_cam1.jpg,1080,1920,1791.0,1753.0,242.0,198.0
plastic,Grogol_Location_1_2018-05-07 12-30-00-05_cam1.jpg,1080,1920,606.0,555.0,1075.0,1045.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,388.0,337.0,522.0,482.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,852.0,817.0,549.0,512.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,597.0,561.0,297.0,265.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,1638.0,1602.0,812.0,777.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,1655.0,1592.0,188.0,104.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,853.0,770.0,456.0,426.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,1749.0,1729.0,1061.0,1031.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,1796.0,1769.0,195.0,168.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,761.0,716.0,641.0,616.0
plastic,Grogol_Location_1_2018-05-07 13-00-00-05_cam1.jpg,1080,1920,585.0,548.0,253.0,221.0
plastic,Grogol_Location_1_2018-05-07 13-15-00-05_cam1.jpg,1080,1920,1074.0,1009.0,277.0,199.0
plastic,Grogol_Location_1_2018-05-07 13-15-00-05_cam1.jpg,1080,1920,1850.0,1813.0,512.0,465.0
plastic,Grogol_Location_1_2018-05-07 13-15-00-05_cam1.jpg,1080,1920,373.0,333.0,913.0,868.0
plastic,Grogol_Location_1_2018-05-07 13-15-00-05_cam1.jpg,1080,1920,260.0,220.0,337.0,263.0
plastic,Grogol_Location_1_2018-05-07 13-15-00-05_cam1.jpg,1080,1920,1785.0,1742.0,541.0,492.0
plastic,Grogol_Location_1_2018-05-07 13-15-00-05_cam1.jpg,1080,1920,502.0,458.0,1080.0,1049.0
plastic,Grogol_Location_1_2018-05-07 13-15-00-05_cam1.jpg,1080,1920,436.0,396.0,868.0,830.0
plastic,Grogol_Location_1_2018-05-07 13-15-00-05_cam1.jpg,1080,1920,1809.0,1757.0,630.0,568.0
plastic,Grogol_Location_1_2018-05-07 13-15-00-05_cam1.jpg,1080,1920,1139.0,1086.0,365.0,316.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,1535.0,1479.0,499.0,437.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,160.0,120.0,725.0,663.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,1211.0,1166.0,650.0,602.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,250.0,199.0,493.0,435.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,517.0,432.0,357.0,247.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,1648.0,1602.0,846.0,763.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,1651.0,1628.0,643.0,617.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,1556.0,1529.0,795.0,767.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,1725.0,1696.0,628.0,598.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,1514.0,1485.0,869.0,800.0
plastic,Grogol_Location_1_2018-05-07 13-30-00-05_cam1.jpg,1080,1920,377.0,351.0,218.0,180.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,1532.0,1492.0,426.0,373.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,1397.0,1355.0,537.0,475.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,1595.0,1541.0,240.0,181.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,299.0,244.0,933.0,857.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,806.0,758.0,594.0,555.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,1708.0,1668.0,340.0,300.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,1434.0,1348.0,437.0,378.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,785.0,751.0,1077.0,1046.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,336.0,303.0,828.0,792.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,627.0,594.0,752.0,716.0
plastic,Grogol_Location_1_2018-05-07 14-00-00-05_cam1.jpg,1080,1920,1340.0,1270.0,1002.0,944.0
plastic,Grogol_Location_1_2018-05-07 14-30-00-05_cam1.jpg,1080,1920,212.0,171.0,888.0,825.0
plastic,Grogol_Location_1_2018-05-07 14-30-00-05_cam1.jpg,1080,1920,1367.0,1329.0,827.0,777.0
plastic,Grogol_Location_1_2018-05-07 14-30-00-05_cam1.jpg,1080,1920,1501.0,1457.0,271.0,199.0
plastic,Grogol_Location_1_2018-05-07 14-30-00-05_cam1.jpg,1080,1920,893.0,850.0,811.0,778.0
plastic,Grogol_Location_1_2018-05-07 14-30-00-05_cam1.jpg,1080,1920,839.0,804.0,473.0,429.0
plastic,Grogol_Location_1_2018-05-07 14-30-00-05_cam1.jpg,1080,1920,686.0,660.0,265.0,237.0
plastic,Grogol_Location_1_2018-05-07 14-30-00-05_cam1.jpg,1080,1920,1679.0,1638.0,981.0,941.0
plastic,Grogol_Location_1_2018-05-07 15-00-00-05_cam1.jpg,1080,1920,195.0,128.0,763.0,686.0
plastic,Grogol_Location_1_2018-05-07 15-00-00-05_cam1.jpg,1080,1920,1051.0,996.0,581.0,530.0
plastic,Grogol_Location_1_2018-05-07 15-00-00-05_cam1.jpg,1080,1920,667.0,607.0,361.0,307.0
plastic,Grogol_Location_1_2018-05-07 15-00-00-05_cam1.jpg,1080,1920,742.0,632.0,843.0,776.0
plastic,Grogol_Location_1_2018-05-07 15-00-00-05_cam1.jpg,1080,1920,966.0,918.0,973.0,928.0
plastic,Grogol_Location_1_2018-05-07 15-00-00-05_cam1.jpg,1080,1920,445.0,423.0,170.0,141.0
plastic,Grogol_Location_1_2018-05-07 15-00-00-05_cam1.jpg,1080,1920,473.0,432.0,488.0,446.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,896.0,832.0,537.0,481.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,1472.0,1413.0,915.0,859.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,1566.0,1497.0,1003.0,929.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,930.0,883.0,415.0,369.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,1215.0,1178.0,845.0,809.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,1902.0,1850.0,571.0,490.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,922.0,882.0,834.0,794.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,582.0,526.0,758.0,713.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,1327.0,1297.0,897.0,863.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,1021.0,991.0,387.0,363.0
plastic,Grogol_Location_1_2018-05-08 09-45-00-05_cam1.jpg,1080,1920,762.0,722.0,1064.0,1010.0
plastic,Grogol_Location_1_2018-05-08 10-15-00-05_cam1.jpg,1080,1920,1510.0,1463.0,168.0,117.0
plastic,Grogol_Location_1_2018-05-08 10-15-00-05_cam1.jpg,1080,1920,1678.0,1632.0,1025.0,978.0
plastic,Grogol_Location_1_2018-05-08 10-15-00-05_cam1.jpg,1080,1920,902.0,865.0,1080.0,1046.0
plastic,Grogol_Location_1_2018-05-08 10-15-00-05_cam1.jpg,1080,1920,1197.0,1133.0,722.0,655.0
plastic,Grogol_Location_1_2018-05-08 10-15-00-05_cam1.jpg,1080,1920,370.0,328.0,184.0,124.0
plastic,Grogol_Location_1_2018-05-08 10-15-00-05_cam1.jpg,1080,1920,426.0,388.0,934.0,877.0
plastic,Grogol_Location_1_2018-05-08 10-15-00-05_cam1.jpg,1080,1920,311.0,280.0,222.0,192.0
plastic,Grogol_Location_1_2018-05-08 10-45-00-05_cam1.jpg,1080,1920,1009.0,930.0,914.0,868.0
plastic,Grogol_Location_1_2018-05-08 10-45-00-05_cam1.jpg,1080,1920,779.0,740.0,718.0,670.0
plastic,Grogol_Location_1_2018-05-08 10-45-00-05_cam1.jpg,1080,1920,277.0,206.0,558.0,478.0
plastic,Grogol_Location_1_2018-05-08 10-45-00-05_cam1.jpg,1080,1920,99.0,66.0,304.0,228.0
plastic,Grogol_Location_1_2018-05-08 10-45-00-05_cam1.jpg,1080,1920,266.0,219.0,638.0,581.0
plastic,Grogol_Location_1_2018-05-08 10-45-00-05_cam1.jpg,1080,1920,222.0,157.0,1077.0,1003.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,233.0,197.0,211.0,154.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,404.0,349.0,209.0,123.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,881.0,827.0,896.0,851.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,400.0,358.0,512.0,457.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,338.0,298.0,770.0,706.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,492.0,424.0,297.0,233.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,279.0,204.0,650.0,526.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,269.0,236.0,328.0,291.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,801.0,767.0,425.0,364.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,440.0,386.0,353.0,283.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,193.0,163.0,582.0,535.0
plastic,Grogol_Location_1_2018-05-08 11-15-00-05_cam1.jpg,1080,1920,177.0,137.0,638.0,593.0
plastic,Grogol_Location_1_2018-05-08 11-45-00-05_cam1.jpg,1080,1920,822.0,746.0,556.0,474.0
plastic,Grogol_Location_1_2018-05-08 11-45-00-05_cam1.jpg,1080,1920,272.0,244.0,159.0,129.0
plastic,Grogol_Location_1_2018-05-08 11-45-00-05_cam1.jpg,1080,1920,336.0,278.0,864.0,797.0
plastic,Grogol_Location_1_2018-05-08 11-45-00-05_cam1.jpg,1080,1920,283.0,242.0,819.0,756.0
plastic,Grogol_Location_1_2018-05-08 11-45-00-05_cam1.jpg,1080,1920,480.0,446.0,776.0,752.0
plastic,Grogol_Location_1_2018-05-08 11-45-00-05_cam1.jpg,1080,1920,160.0,126.0,680.0,636.0
plastic,Grogol_Location_1_2018-05-08 11-45-00-05_cam1.jpg,1080,1920,111.0,84.0,404.0,358.0
plastic,Grogol_Location_1_2018-05-08 11-45-00-05_cam1.jpg,1080,1920,292.0,267.0,521.0,489.0
plastic,Grogol_Location_1_2018-05-08 12-15-00-05_cam1.jpg,1080,1920,864.0,832.0,1031.0,993.0
plastic,Grogol_Location_1_2018-05-08 12-15-00-05_cam1.jpg,1080,1920,820.0,748.0,871.0,841.0
plastic,Grogol_Location_1_2018-05-08 12-15-00-05_cam1.jpg,1080,1920,37.0,5.0,871.0,812.0
plastic,Grogol_Location_1_2018-05-08 12-45-00-05_cam1.jpg,1080,1920,104.0,58.0,654.0,600.0
plastic,Grogol_Location_1_2018-05-08 13-15-00-05_cam1.jpg,1080,1920,473.0,412.0,774.0,725.0
plastic,Grogol_Location_1_2018-05-08 13-15-00-05_cam1.jpg,1080,1920,128.0,83.0,865.0,819.0
